Name,Yr,Rec,Sp,Stocknumber,yr_num
Bella Coola-Bentinck,1985,29810,27560,0,0
Bella Coola-Bentinck,1986,27966,21300,0,1
Bella Coola-Bentinck,1987,35439,14425,0,2
Bella Coola-Bentinck,1988,45071,15000,0,3
Bella Coola-Bentinck,1989,42049,22000,0,4
Bella Coola-Bentinck,1990,41202,17000,0,5
Bella Coola-Bentinck,1991,36706,17800,0,6
Bella Coola-Bentinck,1992,31126,27000,0,7
Bella Coola-Bentinck,1993,32601,35000,0,8
Bella Coola-Bentinck,1994,34596,26800,0,9
Bella Coola-Bentinck,1995,35460,32000,0,10
Bella Coola-Bentinck,1996,35317,25000,0,11
Bella Coola-Bentinck,1997,29791,18000,0,12
Bella Coola-Bentinck,1998,28555,22000,0,13
Bella Coola-Bentinck,1999,31383,25000,0,14
Bella Coola-Bentinck,2000,36480,25000,0,15
Bella Coola-Bentinck,2001,37971,24000,0,16
Bella Coola-Bentinck,2002,28469,14000,0,17
Bella Coola-Bentinck,2003,18779,15000,0,18
Bella Coola-Bentinck,2004,18746,17500,0,19
Bella Coola-Bentinck,2005,22857,17500,0,20
Bella Coola-Bentinck,2006,22034,26000,0,21
Bella Coola-Bentinck,2007,17188,11000,0,22
Bella Coola-Bentinck,2008,26625,9000,0,23
Bella Coola-Bentinck,2009,34812,10600,0,24
Bella Coola-Bentinck,2010,49832,13389,0,25
Bella Coola-Bentinck,2011,45860,9100,0,26
Dean River,1985,2901,4000,1,0
Dean River,1986,2964,3300,1,1
Dean River,1987,3073,1144,1,2
Dean River,1988,1664,1300,1,3
Dean River,1989,1400,2300,1,4
Dean River,1990,1421,2000,1,5
Dean River,1991,1820,2400,1,6
Dean River,1992,1974,3000,1,7
Dean River,1993,2815,700,1,8
Dean River,1994,2254,1300,1,9
Dean River,1995,2001,1100,1,10
Dean River,1996,3634,2000,1,11
Dean River,1997,4489,1400,1,12
Dean River,1998,4718,3000,1,13
Dean River,1999,4356,1800,1,14
Dean River,2000,3753,1200,1,15
Dean River,2001,4041,3795,1,16
Dean River,2002,3055,3700,1,17
Dean River,2003,1780,3700,1,18
Dean River,2004,1693,3500,1,19
Dean River,2005,1828,2200,1,20
Dean River,2006,1334,3700,1,21
Dean River,2007,1618,2300,1,22
Dean River,2008,3407,1100,1,23
Dean River,2009,3553,1400,1,24
Dean River,2010,2785,1600,1,25
Dean River,2011,3460,750,1,26
Kalum-Late,1981,33713,9842,2,0
Kalum-Late,1982,52873,5821,2,1
Kalum-Late,1983,52173,11313,2,2
Kalum-Late,1984,44889,12514,2,3
Kalum-Late,1985,36819,8792,2,4
Kalum-Late,1986,30355,10743,2,5
Kalum-Late,1987,30592,25937,2,6
Kalum-Late,1988,29915,24082,2,7
Kalum-Late,1989,23905,21060,2,8
Kalum-Late,1990,21036,21166,2,9
Kalum-Late,1991,15827,9736,2,10
Kalum-Late,1992,13570,14816,2,11
Kalum-Late,1993,17081,15874,2,12
Kalum-Late,1994,22895,14816,2,13
Kalum-Late,1995,34570,6680,2,14
Kalum-Late,1996,41357,12540,2,15
