Area,Stock,WA,SMSY,CV,SMSY5th,SMSY95th,lh
Area3,Kincolith,222,900,0.19,600,1200,1
Area3,Ishkeenickh,581,1800,0.16,1300,2200,1
Area3,Kwinamass,203,800,0.2,600,1100,1
Area3,Kitsault,365,1300,0.17,900,1600,1
Area3,Nass,16615,17900,0.21,12300,24400,1
FSP1.2,Nicola,7211,10000,0.17,7300,12900,1
FSP1.2,Spius,777,2000,0.15,1500,2600,1
FSP1.2,Coldwater,917,1100,0.18,800,1500,1
FSP1.2,Louis,519,1600,0.16,1200,2100,1
FSP1.2,Deadman,890,2400,0.15,1800,2900,1
FSP1.2,Bonaparte,3499,6100,0.15,4600,7600,1
FSP1.2,Bessette,388,1300,0.17,1000,1700,1
UGS,Klinaklini,5161,8000,0.16,5900,10000,1
LGS,Nanaimo,586,3300,0.14,2600,4100,0
WCVI,Tahsis,77,500,0.32,300,900,0
WCVI,Burman,242,1500,0.21,1000,2000,0
WCVI,Artlish,125,800,0.27,500,1200,0
WCVI,Tahsish,277,1700,0.2,1200,2300,0
WCVI,Kaouk,115,700,0.28,500,1200,0
WCVI,Marble,396,2300,0.17,1700,3000,0
FSu0.3,M.Shuswap,616,3400,0.14,2700,4200,0
FSu0.3,L.Shuswap,2856,13900,0.13,11100,17100,0
FSu0.3,S.Thompson,13494,57600,0.26,37300,87000,0
FSu0.3,MariaSl.,33,200,0.41,100,500,0
Wannock,Wannock,3173,15300,0.14,12100,19000,0
