"","CU_Name","CU_ID","BroodYear","Spawners","Recruits","Age_3_Recruits","Age_4_Recruits","STAS_Age_3","STAS_Age_4","ER_Age_3","ER_Age_4","Hatchery","yr_num"
"1","Middle_Fraser",0,1998,4851,5562,5361,201,0.041,0.034,0.071,0.078,0,0
"2","Middle_Fraser",0,1999,1652,4475,4175,300,0.034,0.013,0.078,0.129,0.03,1
"3","Middle_Fraser",0,2000,3920,4409,4074,335,0.013,0.012,0.129,0.131,0.02,2
"4","Middle_Fraser",0,2001,6162,5385,5145,240,0.012,0.008,0.131,0.13,0.06,3
"5","Middle_Fraser",0,2002,4170,2390,2276,114,0.008,0.003,0.13,0.094,0.03,4
"6","Middle_Fraser",0,2003,3809,2395,1322,1073,0.003,0.012,0.094,0.112,0,5
"7","Middle_Fraser",0,2004,4760,10335,10141,194,0.012,0.006,0.112,0.098,0,6
"8","Middle_Fraser",0,2005,2189,1788,1429,359,0.006,0.011,0.098,0.115,0,7
"9","Middle_Fraser",0,2006,1301,2481,2247,234,0.011,0.01,0.115,0.104,0,8
"10","Middle_Fraser",0,2007,9958,5525,5000,525,0.01,0.014,0.104,0.126,0,9
"11","Middle_Fraser",0,2008,1464,4536,3963,573,0.014,0.013,0.126,0.112,0,10
"12","Middle_Fraser",0,2009,2306,8604,7452,1152,0.013,0.01,0.112,0.162,0,11
"13","Middle_Fraser",0,2010,4689,13202,12710,492,0.01,0.021,0.162,0.318,0,12
"14","Middle_Fraser",0,2011,3920,4349,4026,323,0.021,0.008,0.318,0.178,0,13
"15","Middle_Fraser",0,2012,7126,5058,1324,3734,0.008,0.014,0.178,0.073,0,14
"16","Middle_Fraser",0,2013,11625,12033,11007,1026,0.014,0.011,0.073,0.097,0,15
"17","Fraser_Canyon",1,1998,5460,5711,5521,190,0.041,0.034,0.071,0.078,0,0
"18","Fraser_Canyon",1,1999,4096,4310,3951,359,0.034,0.013,0.078,0.129,0,1
"19","Fraser_Canyon",1,2000,2719,5281,4868,413,0.013,0.012,0.129,0.131,0,2
"20","Fraser_Canyon",1,2001,5971,6595,6347,248,0.012,0.008,0.131,0.13,0,3
"21","Fraser_Canyon",1,2002,3817,2501,2360,141,0.008,0.003,0.13,0.094,0,4
"22","Fraser_Canyon",1,2003,4552,1926,1631,295,0.003,0.012,0.094,0.112,0,5
"23","Fraser_Canyon",1,2004,5872,2940,2789,151,0.012,0.006,0.112,0.098,0,6
"24","Fraser_Canyon",1,2005,2269,1471,1111,360,0.006,0.011,0.098,0.115,0,7
"25","Fraser_Canyon",1,2006,1605,2359,2248,111,0.011,0.01,0.115,0.104,0,8
"26","Fraser_Canyon",1,2007,2739,2801,2374,427,0.01,0.014,0.104,0.126,0,9
"27","Fraser_Canyon",1,2008,1138,3659,3220,439,0.014,0.013,0.126,0.112,0,10
"28","Fraser_Canyon",1,2009,2308,5877,5342,535,0.013,0.01,0.112,0.162,0,11
"29","Fraser_Canyon",1,2010,2227,6075,5908,167,0.01,0.021,0.162,0.318,0,12
"30","Fraser_Canyon",1,2011,3189,1454,1370,84,0.021,0.008,0.318,0.178,0,13
"31","Fraser_Canyon",1,2012,5134,661,344,317,0.008,0.014,0.178,0.073,0,14
"32","Fraser_Canyon",1,2013,5398,1359,934,425,0.014,0.011,0.073,0.097,0,15
"33","Lower_Thompson",2,1998,2165,4814,4434,380,0.041,0.034,0.071,0.078,0.78,0
"34","Lower_Thompson",2,1999,3992,4648,4437,211,0.034,0.013,0.078,0.129,0.67,1
"35","Lower_Thompson",2,2000,4739,2402,2196,206,0.013,0.012,0.129,0.131,0.48,2
"36","Lower_Thompson",2,2001,9522,2650,2440,210,0.012,0.008,0.131,0.13,0.49,3
"37","Lower_Thompson",2,2002,16053,2105,1999,106,0.008,0.003,0.13,0.094,0.73,4
"38","Lower_Thompson",2,2003,2933,2139,1231,908,0.003,0.012,0.094,0.112,0.36,5
"39","Lower_Thompson",2,2004,4304,9229,8581,648,0.012,0.006,0.112,0.098,0.49,6
"40","Lower_Thompson",2,2005,2614,3369,2786,583,0.006,0.011,0.098,0.115,0.33,7
"41","Lower_Thompson",2,2006,1082,5059,3643,1416,0.011,0.01,0.115,0.104,0.01,8
"42","Lower_Thompson",2,2007,10169,11375,10951,424,0.01,0.014,0.104,0.126,0.18,9
"43","Lower_Thompson",2,2008,3800,7502,6950,552,0.014,0.013,0.126,0.112,0.21,10
"44","Lower_Thompson",2,2009,4768,11725,11313,412,0.013,0.01,0.112,0.162,0.24,11
"45","Lower_Thompson",2,2010,12217,14188,13199,989,0.01,0.021,0.162,0.318,0.11,12
"46","Lower_Thompson",2,2011,7289,9159,8096,1063,0.021,0.008,0.318,0.178,0.13,13
"47","Lower_Thompson",2,2012,11559,12019,4358,7661,0.008,0.014,0.178,0.073,0.1,14
"48","Lower_Thompson",2,2013,11887,7646,5931,1715,0.014,0.011,0.073,0.097,0.05,15
"49","North_Thompson",3,1998,9786,22576,22576,0,0.041,0.034,0.071,0.078,0.05,0
"50","North_Thompson",3,1999,10696,21136,20933,203,0.034,0.013,0.078,0.129,0.02,1
"51","North_Thompson",3,2000,8054,7757,6987,770,0.013,0.012,0.129,0.131,0.32,2
"52","North_Thompson",3,2001,27238,11119,10871,248,0.012,0.008,0.131,0.13,0.11,3
"53","North_Thompson",3,2002,22083,4777,4471,306,0.008,0.003,0.13,0.094,0.14,4
"54","North_Thompson",3,2003,7211,6686,3546,3140,0.003,0.012,0.094,0.112,0.16,5
"55","North_Thompson",3,2004,10661,24542,24074,468,0.012,0.006,0.112,0.098,0.07,6
"56","North_Thompson",3,2005,4518,4889,3454,1435,0.006,0.011,0.098,0.115,0.13,7
"57","North_Thompson",3,2006,3670,9042,8968,74,0.011,0.01,0.115,0.104,0.08,8
"58","North_Thompson",3,2007,24500,13806,13075,731,0.01,0.014,0.104,0.126,0.02,9
"59","North_Thompson",3,2008,3849,9630,8886,744,0.014,0.013,0.126,0.112,0.1,10
"60","North_Thompson",3,2009,9631,22737,21173,1564,0.013,0.01,0.112,0.162,0.06,11
"61","North_Thompson",3,2010,12159,18107,17267,840,0.01,0.021,0.162,0.318,0.04,12
"62","North_Thompson",3,2011,8803,7640,6873,767,0.021,0.008,0.318,0.178,0.05,13
"63","North_Thompson",3,2012,20058,5754,3147,2607,0.008,0.014,0.178,0.073,0.03,14
"64","North_Thompson",3,2013,16271,16496,15542,954,0.014,0.011,0.073,0.097,0.04,15
"65","South_Thompson",4,1998,5155,12420,11909,511,0.041,0.034,0.071,0.078,0.01,0
"66","South_Thompson",4,1999,3137,10139,9872,267,0.034,0.013,0.078,0.129,0.02,1
"67","South_Thompson",4,2000,3307,4110,3241,869,0.013,0.012,0.129,0.131,0.02,2
"68","South_Thompson",4,2001,13063,17091,16733,358,0.012,0.008,0.131,0.13,0.14,3
"69","South_Thompson",4,2002,10544,2406,2233,173,0.008,0.003,0.13,0.094,0.12,4
"70","South_Thompson",4,2003,3422,2473,2003,470,0.003,0.012,0.094,0.112,0.12,5
"71","South_Thompson",4,2004,15850,13443,12850,593,0.012,0.006,0.112,0.098,0.05,6
"72","South_Thompson",4,2005,2302,6619,6036,583,0.006,0.011,0.098,0.115,0.1,7
"73","South_Thompson",4,2006,2003,4241,3644,597,0.011,0.01,0.115,0.104,0.02,8
"74","South_Thompson",4,2007,12345,10021,9019,1002,0.01,0.014,0.104,0.126,0.05,9
"75","South_Thompson",4,2008,6688,5366,3458,1908,0.014,0.013,0.126,0.112,0.13,10
"76","South_Thompson",4,2009,3821,14218,12730,1488,0.013,0.01,0.112,0.162,0.05,11
"77","South_Thompson",4,2010,8946,12776,12526,250,0.01,0.021,0.162,0.318,0.06,12
"78","South_Thompson",4,2011,4771,2525,2048,477,0.021,0.008,0.318,0.178,0.22,13
"79","South_Thompson",4,2012,13303,6067,1955,4112,0.008,0.014,0.178,0.073,0.04,14
"80","South_Thompson",4,2013,13132,11933,10876,1057,0.014,0.011,0.073,0.097,0.11,15
