Name,Stocknumber,Yr,Sp ,Rec,Stream,yr_num
Harrison,0,1984,109418.0165,159320.6744,1,0
Harrison,0,1985,135405.5836,45015.97575,1,1
Harrison,0,1986,175150.3472,560141.6977,1,2
Harrison,0,1987,85461.71329,108060.2849,1,3
Harrison,0,1988,38938.56349,411960.4899,1,4
Harrison,0,1989,54513.08811,254802.2353,1,5
Harrison,0,1990,163552.7761,375459.0791,1,6
Harrison,0,1991,96014.37702,22063.00285,1,7
Harrison,0,1992,120076.5221,48158.37026,1,8
Harrison,0,1993,153017.4283,74327.89367,1,9
Harrison,0,1994,96843.7171,315656.9131,1,10
Harrison,0,1995,27836.04728,65035.79855,1,11
Harrison,0,1996,40940.49961,183773.9427,1,12
Harrison,0,1997,57633.73552,82491.16744,1,13
Harrison,0,1998,216869.3829,119571.246,1,14
Stikine,1,1977,11445,15222,0,0
Stikine,1,1978,6835,7520,0,1
Stikine,1,1979,12610,35107,0,2
Stikine,1,1980,30573,19437,0,3
Stikine,1,1981,36057,29245,0,4
Stikine,1,1982,40488,51569,0,5
Stikine,1,1983,6424,20574,0,6
Stikine,1,1984,13995,38285,0,7
Stikine,1,1985,16037,20000,0,8
Stikine,1,1986,14889,47132,0,9
Stikine,1,1987,24632,71992,0,10
Stikine,1,1988,37554,40191,0,11
Stikine,1,1989,24282,18352,0,12
Stikine,1,1990,22619,14658,0,13
Stikine,1,1991,23206,55504.32283,0,14
Stikine,1,1992,34129,33995.59462,0,15
Stikine,1,1993,58962,24109.48062,0,16
Stikine,1,1994,33094,27656.25352,0,17
Stikine,1,1995,16784,41661.90999,0,18
Stikine,1,1996,23886,109688.3178,0,19
Stikine,1,1997,28185,29056.69874,0,20
Stikine,1,1998,25968,63744.23206,0,21
Taku,2,1973,14564,19930.50152,0,0
Taku,2,1974,16015,75456.09807,0,1
Taku,2,1975,12920,87449.68303,0,2
Taku,2,1976,24582,65456.52204,0,3
Taku,2,1977,29497,34311.77653,0,4
Taku,2,1978,17124,16546.57685,0,5
Taku,2,1979,21617,39833.39651,0,6
Taku,2,1980,39239,58388.46737,0,7
Taku,2,1981,49559,45833.02669,0,8
Taku,2,1982,23848,60034.70867,0,9
Taku,2,1983,9794,37079.29289,0,10
Taku,2,1984,20778,85187.17739,0,11
Taku,2,1985,35916,62649.72542,0,12
Taku,2,1986,38111,61805.43989,0,13
Taku,2,1987,28935,95776.79406,0,14
Taku,2,1988,44524,80003.94917,0,15
Taku,2,1989,40329,67787.65024,0,16
Taku,2,1990,52142,34078.00449,0,17
Taku,2,1991,51645,196114.4038,0,18
Unuk,3,1977,4870,5683.870777,0,0
Unuk,3,1978,5530,8591.854645,0,1
Unuk,3,1979,2880,11746.30797,0,2
Unuk,3,1980,5080,14495.21422,0,3
Unuk,3,1981,3655,17639.72684,0,4
Unuk,3,1982,6755,19972.32381,0,5
Unuk,3,1983,5625,17088.21429,0,6
Unuk,3,1984,9185,9654.37931,0,7
Unuk,3,1985,5920,4304.80531,0,8
Unuk,3,1986,10630,8595.130435,0,9
Unuk,3,1987,9865,7952.459295,0,10
Unuk,3,1988,8730,9232.681419,0,11
Unuk,3,1989,5745,6477.482525,0,12
Unuk,3,1990,2955,5659.289133,0,13
Unuk,3,1991,3275,8810.113601,0,14
Unuk,3,1992,4370,3616,0,15
Unuk,3,1993,5340,6928,0,16
Unuk,3,1994,4623,6195,0,17
Unuk,3,1995,3860,13113,0,18
Unuk,3,1996,5835,17845,0,19
Unuk,3,1997,2970,7447,0,20
Unuk,3,1998,4132,11945.73972,0,21
Chickamin,4,1977,1684.187563,5094.469013,0,0
Chickamin,4,1978,1432.375684,6732.66239,0,1
Chickamin,4,1979,1107.914894,8592.312766,0,2
Chickamin,4,1980,2065.469909,10978.15579,0,3
Chickamin,4,1981,1783.598439,14168.47578,0,4
Chickamin,4,1982,2652.17372,7702.227617,0,5
Chickamin,4,1983,2783.972589,10089.52661,0,6
Chickamin,4,1984,5118.555937,8062.753273,0,7
Chickamin,4,1985,4440.416947,2480.670408,0,8
Chickamin,4,1986,8105.420195,5831.174094,0,9
Chickamin,4,1987,4528.667911,4024.308201,0,10
Chickamin,4,1988,3650.803055,4593.107683,0,11
Chickamin,4,1989,4338.23162,4159.177715,0,12
Chickamin,4,1990,2619.660207,2102.434058,0,13
Chickamin,4,1991,2262.011562,2894.736462,0,14
Chickamin,4,1992,1607.09651,1840.884977,0,15
Chickamin,4,1993,1806.822377,4462.083453,0,16
Chickamin,4,1994,1802.177589,4534.912691,0,17
Chickamin,4,1995,1653.544386,6670.79795,0,18
Chickamin,4,1996,1587,10922.21196,0,19
Chickamin,4,1997,1263.382228,7275.348218,0,20
Chickamin,4,1998,1816.111952,11031.79415,0,21
Keta,5,1977,690,2784.698911,0,0
Keta,5,1978,1176,3346.075005,0,1
Keta,5,1979,1278,3121.583196,0,2
Keta,5,1980,576,2944.297981,0,3
Keta,5,1981,987,3209.379018,0,4
Keta,5,1982,2262,3173.846951,0,5
Keta,5,1983,2466,3983.113644,0,6
Keta,5,1984,1830,3799.894276,0,7
Keta,5,1985,1872,3548.111855,0,8
Keta,5,1986,2070,1818.748094,0,9
Keta,5,1987,2304,1290.109822,0,10
Keta,5,1988,1725,1477.834082,0,11
Keta,5,1989,3465,1456.03446,0,12
Keta,5,1990,1818,1205.722785,0,13
Keta,5,1991,816,1207.046732,0,14
Keta,5,1992,651,1189.639896,0,15
Keta,5,1993,1086,813.1451094,0,16
Keta,5,1994,918,1161.995423,0,17
Keta,5,1995,525,1019.489369,0,18
Keta,5,1996,891,2359.67557,0,19
Keta,5,1997,738,1454.1638,0,20
Keta,5,1998,446,1983.0294,0,21
Blossom,6,1977,336,1424.780722,0,0
Blossom,6,1978,429,2051.364951,0,1
Blossom,6,1979,162,2526.921237,0,2
Blossom,6,1980,267,3403.239939,0,3
Blossom,6,1981,477,4875.288441,0,4
Blossom,6,1982,1035,4707.179447,0,5
Blossom,6,1983,1767,3479.861854,0,6
Blossom,6,1984,1524,1447.392947,0,7
Blossom,6,1985,2127,1327.503108,0,8
Blossom,6,1986,3834,1041.54,0,9
Blossom,6,1987,4047,988.6553716,0,10
Blossom,6,1988,1152,1012.521401,0,11
Blossom,6,1989,1032,1037.511182,0,12
Blossom,6,1990,771,923.2979247,0,13
Blossom,6,1991,717,931.5368405,0,14
Blossom,6,1992,450,706.2288486,0,15
Blossom,6,1993,909,465.2661224,0,16
Blossom,6,1994,483,742.4900077,0,17
Blossom,6,1995,651,1159.823885,0,18
Blossom,6,1996,660,1099.395796,0,19
Blossom,6,1997,396,1234.33384,0,20
Blossom,6,1998,364,1022.120414,0,21
KSR,7,1971,139.2690384,365.7026984,0,0
KSR,7,1972,133.3426963,281.2586318,0,1
KSR,7,1973,312.6145436,261.0324481,0,2
KSR,7,1974,154.0848935,263.9669256,0,3
KSR,7,1975,62.22659162,326.0044189,0,4
KSR,7,1976,96.30305847,765.0047435,0,5
KSR,7,1977,198.532459,704.1647474,0,6
KSR,7,1978,84.45037435,702.2146397,0,7
KSR,7,1979,113.3795253,255.5213675,0,8
KSR,7,1980,103.710986,884.975945,0,9
KSR,7,1981,138.640137,539.2225191,0,10
KSR,7,1982,353.7306484,1284.985855,0,11
KSR,7,1983,245,611.8744028,0,12
KSR,7,1984,265,543.412849,0,13
KSR,7,1985,175,819.561281,0,14
KSR,7,1986,255,211.6709496,0,15
KSR,7,1987,196,592.6174974,0,16
KSR,7,1988,208,437.4388077,0,17
KSR,7,1989,240,326.4167907,0,18
KSR,7,1990,179,546.456352,0,19
KSR,7,1991,134,716.9295321,0,20
Andrew Cr,8,1975,508.0643807,1189.464741,0,0
Andrew Cr,8,1976,404,3014.018692,0,1
Andrew Cr,8,1977,456,768.9039932,0,2
Andrew Cr,8,1978,388,1178.84452,0,3
Andrew Cr,8,1979,327,1013.968776,0,4
Andrew Cr,8,1980,282,2541.104089,0,5
Andrew Cr,8,1981,536,3084.060114,0,6
Andrew Cr,8,1982,672,4367.237315,0,7
Andrew Cr,8,1983,366,2456.770491,0,8
Andrew Cr,8,1984,389,2338.150727,0,9
Andrew Cr,8,1985,625.310007,2301.771731,0,10
Andrew Cr,8,1986,1383.49839,3038.387476,0,11
Andrew Cr,8,1987,1539.825892,2979.184231,0,12
Andrew Cr,8,1988,1102.108887,3740.077833,0,13
Andrew Cr,8,1989,1035.669699,1444.600361,0,14
Andrew Cr,8,1990,1297.518264,1294.40338,0,15
Andrew Cr,8,1991,781.6375087,1229.153839,0,16
Andrew Cr,8,1992,1520.284954,1694.183808,0,17
Andrew Cr,8,1993,2071.339398,1227.24804,0,18
Andrew Cr,8,1994,1117.741637,1907.820215,0,19
Andrew Cr,8,1995,670.2541637,3994.643547,0,20
Andrew Cr,8,1996,654.6214136,3175.734887,0,21
Andrew Cr,8,1997,572.5494751,1339.739553,0,22
Andrew Cr,8,1998,951.6436669,2349.261926,0,23
Siuslaw,9,1965,3816,19757,1,0
Siuslaw,9,1966,9497,15044,1,1
Siuslaw,9,1967,5395,11374,1,2
Siuslaw,9,1968,3151,9542,1,3
Siuslaw,9,1969,7337,7735,1,4
Siuslaw,9,1970,13028,10115,1,5
Siuslaw,9,1971,3141,11452,1,6
Siuslaw,9,1972,3539,18576,1,7
Siuslaw,9,1973,879,18551,1,8
Siuslaw,9,1974,6015,19243,1,9
Siuslaw,9,1975,4427,18966,1,10
Siuslaw,9,1976,7999,17474,1,11
Siuslaw,9,1977,9492,25555,1,12
Siuslaw,9,1978,5872,26302,1,13
Siuslaw,9,1979,8040,22030,1,14
Siuslaw,9,1980,10630,30250,1,15
Siuslaw,9,1981,8742,41320,1,16
Siuslaw,9,1982,10870,17249,1,17
Siuslaw,9,1983,4186,53599,1,18
Siuslaw,9,1984,11168,75928,1,19
Siuslaw,9,1985,14822,41966,1,20
Siuslaw,9,1986,14844,68924,1,21
Siuslaw,9,1987,17603,51937,1,22
Siuslaw,9,1988,41746,51888,1,23
Siuslaw,9,1989,28279,27557,1,24
Siuslaw,9,1990,26799,65711,1,25
Siuslaw,9,1991,26100,26649,1,26
Situk,10,1976,1421,1404.883434,1,0
Situk,10,1977,1732,1109.741635,1,1
Situk,10,1978,808,2755.364256,1,2
Situk,10,1979,1284,2837.551171,1,3
Situk,10,1980,905,2539.248408,1,4
Situk,10,1981,702,3028.415086,1,5
