"","Name","WA","Stocknumber","ModelOrder"
"1","Stikine",15337,1,0
"2","Taku",15539,2,1
"3","Unuk",3885,3,2
"4","KSR",93,7,3
"5","Andrew Cr",126,8,4
"6","Siuslaw",2010,9,5
"7","Nehalem",1728,12,6
"8","Lewis",816,13,7
"9","Klukshu",260,14,8
"10","Kitsumkalum",2255,15,9
"11","Salcha",5620,17,10
"12","Chena",4515,18,11
"13","Chehalis",4390,19,12
"14","Humptulips",635,20,13
"15","Queets",1164,21,14
"16","Quillayute",1313,23,15
"17","Chickamin",1696,4,16
"18","Keta",192,5,17
"19","Blossom",176,6,18
"20","Situk",176,10,19
"21","Siletz",523,11,20
"22","Columbia Sp",114434,16,21
"23","Harrison",7611,0,22
"24","Cowichan",1227,22,23
"25","Skagit",4198,NA,NA
