Name,Stocknumber,Yr,Sp ,Rec,Stream,yr_num
WCVI,0,1987,5084,15393,1,0
WCVI,0,1988,10626,24554,1,1
WCVI,0,1989,10480,23194,1,2
WCVI,0,1990,10818,14544,1,3
WCVI,0,1991,11645,8377,1,4
WCVI,0,1992,14783,8880,1,5
WCVI,0,1993,13009,36155,1,6
WCVI,0,1994,12558,57476,1,7
WCVI,0,1995,8055,12889,1,8
WCVI,0,1996,11797,8856,1,9
WCVI,0,1997,15630,7697,1,10
WCVI,0,1998,32956,41487,1,11
WCVI,0,1999,22860,45467,1,12
WCVI,0,2000,9184,15784,1,13
WCVI,0,2001,9894,17691,1,14
WCVI,0,2002,24921,17481,1,15
WCVI,0,2003,29605,21276,1,16
WCVI,0,2004,21931,10220,1,17
WCVI,0,2005,9785,18584,1,18
WCVI,0,2006,16720,19131,1,19
WCVI,0,2007,10931,28578,1,20
WCVI,0,2008,9885,18933,1,21
WCVI,0,2009,15465,14922,1,22
WCVI,0,2010,14755,51155,1,23
WCVI,0,2011,13246,29912,1,24
