23 July (predicting logR),,,,,,,,,,24 July (predicting logR/S),,,,,,,,,,Get same answers to 3 decimal points!,
,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,Check Estimate,Check SE
1,1.391928724,0.533257619,logA,0,Harrison,FALSE,1.392,0.533,,1,1.391928724,0.533257215,logA,0,Harrison,FALSE,1.392,0.533,,,
2,1.148465987,0.249983214,logA,1,Stikine,FALSE,1.148,0.25,,2,1.148465817,0.249982782,logA,1,Stikine,FALSE,1.148,0.25,,,
3,1.384550997,0.299235199,logA,2,Taku,FALSE,1.385,0.299,,3,1.384550303,0.299233715,logA,2,Taku,FALSE,1.385,0.299,,,
4,1.467749761,0.266266912,logA,3,Unuk,FALSE,1.468,0.266,,4,1.467749653,0.266266483,logA,3,Unuk,FALSE,1.468,0.266,,,
5,2.056047047,0.286576378,logA,7,KSR,FALSE,2.056,0.287,,5,2.056047009,0.286575607,logA,7,KSR,FALSE,2.056,0.287,,,
6,1.986578013,0.191233432,logA,8,Andrew Cr,FALSE,1.987,0.191,,6,1.986577987,0.191233183,logA,8,Andrew Cr,FALSE,1.987,0.191,,,
7,1.577070907,0.189825796,logA,9,Siuslaw,FALSE,1.577,0.19,,7,1.57707326,0.189826427,logA,9,Siuslaw,FALSE,1.577,0.19,,,
8,1.878469424,0.170806919,logA,12,Niehalem,FALSE,1.878,0.171,,8,1.878469456,0.170807253,logA,12,Niehalem,FALSE,1.878,0.171,,,
9,2.189260277,0.269981676,logA,13,Lewis,FALSE,2.189,0.27,,9,2.189260258,0.269981653,logA,13,Lewis,FALSE,2.189,0.27,,,
10,2.061242368,0.3838307,logA,14,Klukshu,FALSE,2.061,0.384,,10,2.061243168,0.383836512,logA,14,Klukshu,FALSE,2.061,0.384,,,
11,1.502743017,0.317688964,logA,15,Kitsumkalem,FALSE,1.503,0.318,,11,1.502742173,0.31768816,logA,15,Kitsumkalem,FALSE,1.503,0.318,,,
12,2.447758233,0.365495855,logA,17,Salcha,FALSE,2.448,0.365,,12,2.447758146,0.365495673,logA,17,Salcha,FALSE,2.448,0.365,,,
13,2.210377394,0.469805068,logA,18,Chena,FALSE,2.21,0.47,,13,2.210376532,0.469802558,logA,18,Chena,FALSE,2.21,0.47,,,
14,1.961756145,0.283365215,logA,19,Chehalis,FALSE,1.962,0.283,,14,1.961756188,0.283365075,logA,19,Chehalis,FALSE,1.962,0.283,,,
15,2.326939977,0.282145863,logA,20,Humptulips,FALSE,2.327,0.282,,15,2.326938665,0.282144353,logA,20,Humptulips,FALSE,2.327,0.282,,,
16,1.536198929,0.292162704,logA,21,Queets,FALSE,1.536,0.292,,16,1.536199241,0.29216259,logA,21,Queets,FALSE,1.536,0.292,,,
17,1.59328181,0.340783287,logA,22,Skagit,FALSE,1.593,0.341,,17,1.59328181,0.340783601,logA,22,Skagit,FALSE,1.593,0.341,,,
18,2.267954547,0.631891504,logA,24,Quillayute,FALSE,2.268,0.632,,18,2.267954006,0.631890646,logA,24,Quillayute,FALSE,2.268,0.632,,,
19,-0.027746982,0.464738112,logB,0,Harrison,FALSE,-0.028,0.465,,19,-0.027746982,0.46473776,logB,0,Harrison,FALSE,-0.028,0.465,,,
20,-1.151559637,0.287506119,logB,1,Stikine,FALSE,-1.152,0.288,,20,-1.151559492,0.287505533,logB,1,Stikine,FALSE,-1.152,0.288,,,
21,-1.512381894,0.412990431,logB,2,Taku,FALSE,-1.512,0.413,,21,-1.512381405,0.4129879,logB,2,Taku,FALSE,-1.512,0.413,,,
22,0.478945067,0.276776113,logB,3,Unuk,FALSE,0.479,0.277,,22,0.478945161,0.276775614,logB,3,Unuk,FALSE,0.479,0.277,,,
23,-0.61634388,0.271693879,logB,7,KSR,FALSE,-0.616,0.272,,23,-0.616343829,0.271693123,logB,7,KSR,FALSE,-0.616,0.272,,,
24,0.137209982,0.177338516,logB,8,Andrew Cr,FALSE,0.137,0.177,,24,0.137209972,0.177338286,logB,8,Andrew Cr,FALSE,0.137,0.177,,,
25,-0.813334111,0.29108331,logB,9,Siuslaw,FALSE,-0.813,0.291,,25,-0.81333548,0.291085281,logB,9,Siuslaw,FALSE,-0.813,0.291,,,
26,-0.023812855,0.178785998,logB,12,Niehalem,FALSE,-0.024,0.179,,26,-0.023812837,0.178786345,logB,12,Niehalem,FALSE,-0.024,0.179,,,
