"BroodYear","Inlet_Name","Escapement","CU_Name","Inlet_ID"
1953,"Kyuquot",5750,"WCVI Nootka & Kyuquot",1
1954,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1
1955,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1
1956,"Kyuquot",4300,"WCVI Nootka & Kyuquot",1
1957,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1
1958,"Kyuquot",5200,"WCVI Nootka & Kyuquot",1
1959,"Kyuquot",475,"WCVI Nootka & Kyuquot",1
1960,"Kyuquot",1575,"WCVI Nootka & Kyuquot",1
1961,"Kyuquot",1000,"WCVI Nootka & Kyuquot",1
1962,"Kyuquot",1350,"WCVI Nootka & Kyuquot",1
1963,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1
1964,"Kyuquot",3025,"WCVI Nootka & Kyuquot",1
1965,"Kyuquot",825,"WCVI Nootka & Kyuquot",1
1966,"Kyuquot",8500,"WCVI Nootka & Kyuquot",1
1967,"Kyuquot",1175,"WCVI Nootka & Kyuquot",1
1968,"Kyuquot",2275,"WCVI Nootka & Kyuquot",1
1969,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1
1970,"Kyuquot",2450,"WCVI Nootka & Kyuquot",1
1971,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1
1972,"Kyuquot",1450,"WCVI Nootka & Kyuquot",1
1973,"Kyuquot",3750,"WCVI Nootka & Kyuquot",1
1974,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1
1975,"Kyuquot",125,"WCVI Nootka & Kyuquot",1
1976,"Kyuquot",75,"WCVI Nootka & Kyuquot",1
1977,"Kyuquot",235,"WCVI Nootka & Kyuquot",1
1978,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1979,"Kyuquot",300,"WCVI Nootka & Kyuquot",1
1980,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1981,"Kyuquot",1600,"WCVI Nootka & Kyuquot",1
1982,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1983,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1984,"Kyuquot",2550,"WCVI Nootka & Kyuquot",1
1985,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1
1986,"Kyuquot",1200,"WCVI Nootka & Kyuquot",1
1987,"Kyuquot",700,"WCVI Nootka & Kyuquot",1
1988,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1989,"Kyuquot",520,"WCVI Nootka & Kyuquot",1
1990,"Kyuquot",260,"WCVI Nootka & Kyuquot",1
1991,"Kyuquot",160,"WCVI Nootka & Kyuquot",1
1992,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1993,"Kyuquot",280,"WCVI Nootka & Kyuquot",1
1994,"Kyuquot",500,"WCVI Nootka & Kyuquot",1
1995,"Kyuquot",956,"WCVI Nootka & Kyuquot",1
1996,"Kyuquot",560,"WCVI Nootka & Kyuquot",1
1997,"Kyuquot",1483,"WCVI Nootka & Kyuquot",1
1998,"Kyuquot",2554,"WCVI Nootka & Kyuquot",1
1999,"Kyuquot",1871,"WCVI Nootka & Kyuquot",1
2000,"Kyuquot",571,"WCVI Nootka & Kyuquot",1
2001,"Kyuquot",785,"WCVI Nootka & Kyuquot",1
2002,"Kyuquot",600,"WCVI Nootka & Kyuquot",1
2003,"Kyuquot",1177,"WCVI Nootka & Kyuquot",1
2004,"Kyuquot",1250,"WCVI Nootka & Kyuquot",1
2005,"Kyuquot",808,"WCVI Nootka & Kyuquot",1
2006,"Kyuquot",840,"WCVI Nootka & Kyuquot",1
2007,"Kyuquot",589,"WCVI Nootka & Kyuquot",1
