"","BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
"1",1953,"Kyuquot",5750,"WCVI Nootka & Kyuquot",1,NA
"2",1953,"Clayoquot",NA,"WCVI South",2,NA
"3",1953,"Nootka/Esperanza",13100,"WCVI Nootka & Kyuquot",3,NA
"4",1953,"Quatsino",NA,"WCVI North",4,NA
"5",1953,"Barkley",4250,"WCVI South",5,NA
"6",1953,"San Juan",400,"WCVI South",6,NA
"7",1954,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1,NA
"8",1954,"Clayoquot",NA,"WCVI South",2,NA
"9",1954,"Nootka/Esperanza",925,"WCVI Nootka & Kyuquot",3,NA
"10",1954,"Quatsino",NA,"WCVI North",4,NA
"11",1954,"Barkley",4250,"WCVI South",5,NA
"12",1954,"San Juan",400,"WCVI South",6,NA
"13",1955,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1,NA
"14",1955,"Clayoquot",NA,"WCVI South",2,NA
"15",1955,"Nootka/Esperanza",2550,"WCVI Nootka & Kyuquot",3,NA
"16",1955,"Quatsino",NA,"WCVI North",4,NA
"17",1955,"Barkley",3700,"WCVI South",5,NA
"18",1955,"San Juan",200,"WCVI South",6,NA
"19",1956,"Kyuquot",4300,"WCVI Nootka & Kyuquot",1,NA
"20",1956,"Clayoquot",NA,"WCVI South",2,NA
"21",1956,"Nootka/Esperanza",725,"WCVI Nootka & Kyuquot",3,NA
"22",1956,"Quatsino",NA,"WCVI North",4,NA
"23",1956,"Barkley",950,"WCVI South",5,NA
"24",1956,"San Juan",25,"WCVI South",6,NA
"25",1957,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1,NA
"26",1957,"Clayoquot",NA,"WCVI South",2,NA
"27",1957,"Nootka/Esperanza",700,"WCVI Nootka & Kyuquot",3,NA
"28",1957,"Quatsino",NA,"WCVI North",4,NA
"29",1957,"Barkley",600,"WCVI South",5,NA
"30",1957,"San Juan",200,"WCVI South",6,NA
"31",1958,"Kyuquot",5200,"WCVI Nootka & Kyuquot",1,NA
"32",1958,"Clayoquot",NA,"WCVI South",2,NA
"33",1958,"Nootka/Esperanza",700,"WCVI Nootka & Kyuquot",3,NA
"34",1958,"Quatsino",NA,"WCVI North",4,NA
"35",1958,"Barkley",600,"WCVI South",5,NA
