"","Estimate","Stock","LL","UL","Param","CU"
"1",345,"Artlish",154,776,"SMSY","WCVI Nootka & Kyuquot"
"2",533,"Bedwell/Ursus",249,1142,"SMSY","WCVI South"
"3",379,"Burman",170,842,"SMSY","WCVI Nootka & Kyuquot"
"4",270,"Cayeghle",117,626,"SMSY","WCVI North"
"5",111,"Conuma",43,287,"SMSY","WCVI Nootka & Kyuquot"
"6",215,"Cypre",90,512,"SMSY","WCVI South"
"7",4317,"Gold",2323,8023,"SMSY","WCVI Nootka & Kyuquot"
"8",539,"Kaouk",252,1154,"SMSY","WCVI Nootka & Kyuquot"
"9",584,"Leiner",275,1241,"SMSY","WCVI Nootka & Kyuquot"
"10",885,"Marble",434,1805,"SMSY","WCVI North"
"11",1282,"Megin",648,2536,"SMSY","WCVI South"
"12",618,"Moyeha",293,1304,"SMSY","WCVI South"
"13",230,"Nahmint",97,542,"SMSY","WCVI South"
"14",1844,"Nitinat",956,3555,"SMSY","WCVI South"
"15",3124,"San Juan",1664,5863,"SMSY","WCVI South"
"16",454,"Sarita",208,990,"SMSY","WCVI South"
"17",5296,"Somass",2860,9806,"SMSY","WCVI South"
"18",416,"Tahsis",189,915,"SMSY","WCVI Nootka & Kyuquot"
"19",908,"Tahsish",446,1848,"SMSY","WCVI Nootka & Kyuquot"
"20",70,"Tranquil",25,193,"SMSY","WCVI South"
"21",1020,"Zeballos",506,2055,"SMSY","WCVI Nootka & Kyuquot"
"22",971,"Artlish",416,2266,"SREP","WCVI Nootka & Kyuquot"
"23",1491,"Bedwell/Ursus",672,3310,"SREP","WCVI South"
"24",1064,"Burman",461,2456,"SREP","WCVI Nootka & Kyuquot"
"25",763,"Cayeghle",317,1835,"SREP","WCVI North"
"26",316,"Conuma",116,856,"SREP","WCVI Nootka & Kyuquot"
"27",608,"Cypre",246,1507,"SREP","WCVI South"
"28",11786,"Gold",6163,22540,"SREP","WCVI Nootka & Kyuquot"
"29",1508,"Kaouk",680,3343,"SREP","WCVI Nootka & Kyuquot"
"30",1633,"Leiner",743,3590,"SREP","WCVI Nootka & Kyuquot"
"31",2462,"Marble",1168,5189,"SREP","WCVI North"
"32",3551,"Megin",1740,7247,"SREP","WCVI South"
"33",1726,"Moyeha",790,3770,"SREP","WCVI South"
"34",649,"Nahmint",264,1593,"SREP","WCVI South"
"35",5084,"Nitinat",2558,10105,"SREP","WCVI South"
"36",8559,"San Juan",4429,16542,"SREP","WCVI South"
"37",1272,"Sarita",563,2876,"SREP","WCVI South"
"38",14423,"Somass",7571,27477,"SREP","WCVI South"
"39",1166,"Tahsis",511,2663,"SREP","WCVI Nootka & Kyuquot"
"40",2525,"Tahsish",1200,5309,"SREP","WCVI Nootka & Kyuquot"
"41",200,"Tranquil",69,579,"SREP","WCVI South"
"42",2832,"Zeballos",1361,5893,"SREP","WCVI Nootka & Kyuquot"
