"","Estimate","Stock","LL","UL","Param"
"TestlnSMSYo",358,"Artlish",178,718,"SMSY"
"TestlnSMSYo.1",565,"Bedwell/Ursus",293,1088,"SMSY"
"TestlnSMSYo.2",394,"Burman",198,784,"SMSY"
"TestlnSMSYo.3",276,"Cayeghle",134,569,"SMSY"
"TestlnSMSYo.4",217,"Cypre",103,458,"SMSY"
"TestlnSMSYo.5",5111,"Gold",2999,8713,"SMSY"
"TestlnSMSYo.6",571,"Kaouk",297,1100,"SMSY"
"TestlnSMSYo.7",622,"Leiner",326,1189,"SMSY"
"TestlnSMSYo.8",963,"Marble",522,1779,"SMSY"
"TestlnSMSYo.9",1423,"Megin",792,2559,"SMSY"
"TestlnSMSYo.10",660,"Moyeha",347,1255,"SMSY"
"TestlnSMSYo.11",233,"Nahmint",111,487,"SMSY"
"TestlnSMSYo.12",1927,"San Juan",1091,3405,"SMSY"
"TestlnSMSYo.13",477,"Sarita",244,933,"SMSY"
"TestlnSMSYo.14",435,"Tahsis",220,857,"SMSY"
"TestlnSMSYo.15",990,"Tahsish",537,1824,"SMSY"
"TestlnSMSYo.16",66,"Tranquil",28,159,"SMSY"
"TestlnSMSYo.17",1119,"Zeballos",612,2044,"SMSY"
"TestlnSMSYo.18",720,"Barkley",381,1359,"SMSY"
"TestlnSMSYo.19",3018,"Clayoquot",1744,5223,"SMSY"
"TestlnSMSYo.20",1963,"Kyuquot",1112,3466,"SMSY"
"TestlnSMSYo.21",7872,"Nootka/Esperanza",4639,13358,"SMSY"
"TestlnSMSYo.22",1255,"Quatsino",692,2275,"SMSY"
"TestlnSMSYo.23",1927,"San Juan",1091,3405,"SMSY"
"TestlnSMSYo.24",9949,"WCVI Nootka & Kyuquot",5859,16893,"SMSY"
"TestlnSMSYo.25",1255,"WCVI North",692,2275,"SMSY"
"TestlnSMSYo.26",5791,"WCVI South",3405,9852,"SMSY"
"TestlnSREPo",1045,"Artlish",501,2181,"SREP"
"TestlnSREPo.1",1643,"Bedwell/Ursus",822,3284,"SREP"
"TestlnSREPo.2",1151,"Burman",557,2379,"SREP"
"TestlnSREPo.3",810,"Cayeghle",378,1735,"SREP"
"TestlnSREPo.4",638,"Cypre",290,1401,"SREP"
"TestlnSREPo.5",14577,"Gold",8302,25594,"SREP"
"TestlnSREPo.6",1663,"Kaouk",833,3319,"SREP"
"TestlnSREPo.7",1809,"Leiner",913,3585,"SREP"
"TestlnSREPo.8",2790,"Marble",1460,5331,"SREP"
"TestlnSREPo.9",4107,"Megin",2211,7630,"SREP"
"TestlnSREPo.10",1917,"Moyeha",973,3779,"SREP"
"TestlnSREPo.11",682,"Nahmint",313,1489,"SREP"
"TestlnSREPo.12",5546,"San Juan",3042,10114,"SREP"
"TestlnSREPo.13",1390,"Sarita",685,2821,"SREP"
"TestlnSREPo.14",1268,"Tahsis",619,2597,"SREP"
"TestlnSREPo.15",2865,"Tahsish",1503,5463,"SREP"
"TestlnSREPo.16",197,"Tranquil",78,495,"SREP"
"TestlnSREPo.17",3235,"Zeballos",1712,6112,"SREP"
"TestlnSREPo.18",2090,"Barkley",1068,4089,"SREP"
"TestlnSREPo.19",8649,"Clayoquot",4848,15432,"SREP"
"TestlnSREPo.20",5649,"Kyuquot",3101,10290,"SREP"
"TestlnSREPo.21",22360,"Nootka/Esperanza",12796,39075,"SREP"
"TestlnSREPo.22",3626,"Quatsino",1935,6794,"SREP"
"TestlnSREPo.23",5546,"San Juan",3042,10114,"SREP"
"TestlnSREPo.24",28198,"WCVI Nootka & Kyuquot",16126,49310,"SREP"
"TestlnSREPo.25",3626,"WCVI North",1935,6794,"SREP"
"TestlnSREPo.26",16497,"WCVI South",9416,28903,"SREP"
