"","Estimate","Stock","LL","UL","Param"
"TestlnSMSYo",12,"CHARTERS RIVER",4,34,"SMSY"
"TestlnSMSYo.1",186,"DE MAMIEL CREEK",87,395,"SMSY"
"TestlnSMSYo.2",244,"GORDON RIVER",118,505,"SMSY"
"TestlnSMSYo.3",208,"HARRIS CREEK",99,438,"SMSY"
"TestlnSMSYo.4",50,"LENS CREEK",21,124,"SMSY"
"TestlnSMSYo.5",1804,"SAN JUAN RIVER",1021,3187,"SMSY"
"TestlnSMSYo.6",32,"CAMPUS CREEK",12,83,"SMSY"
"TestlnSMSYo.7",1955,"NITINAT RIVER",1111,3439,"SMSY"
"TestlnSMSYo.8",595,"NITINAT RIVER(upper)",312,1135,"SMSY"
"TestlnSMSYo.9",94,"EFFINGHAM RIVER",41,216,"SMSY"
"TestlnSMSYo.10",87,"CLEMENS CREEK",38,201,"SMSY"
"TestlnSMSYo.11",66,"MERCANTILE CREEK",28,157,"SMSY"
"TestlnSMSYo.12",219,"NAHMINT RIVER",105,458,"SMSY"
"TestlnSMSYo.13",445,"SARITA RIVER",228,871,"SMSY"
"TestlnSMSYo.14",5933,"SOMASS SYSTEM",3492,10081,"SMSY"
"TestlnSMSYo.15",10,"THORNTON CREEK",3,29,"SMSY"
"TestlnSMSYo.16",294,"TOQUART RIVER",145,598,"SMSY"
"TestlnSMSYo.17",528,"BEDWELL/URSUS",274,1018,"SMSY"
"TestlnSMSYo.18",203,"CYPRE RIVER",96,428,"SMSY"
"TestlnSMSYo.19",66,"ICE RIVER",28,157,"SMSY"
"TestlnSMSYo.20",1347,"KENNEDY RIVER (LOWER)",749,2420,"SMSY"
"TestlnSMSYo.21",1330,"MEGIN RIVER",740,2392,"SMSY"
"TestlnSMSYo.22",619,"MOYEHA RIVER",326,1177,"SMSY"
"TestlnSMSYo.23",71,"SYDNEY RIVER",30,168,"SMSY"
"TestlnSMSYo.24",50,"TOFINO CREEK",21,124,"SMSY"
"TestlnSMSYo.25",61,"TRANQUIL CREEK",25,146,"SMSY"
"TestlnSMSYo.26",113,"WATTA CREEK",50,254,"SMSY"
"TestlnSMSYo.27",369,"BURMAN RIVER",185,734,"SMSY"
"TestlnSMSYo.28",50,"CANTON CREEK",21,124,"SMSY"
"TestlnSMSYo.29",101,"CONUMA RIVER",44,230,"SMSY"
"TestlnSMSYo.30",30,"DESERTED CREEK",11,78,"SMSY"
"TestlnSMSYo.31",23,"ESPINOSA CREEK",9,63,"SMSY"
"TestlnSMSYo.32",4784,"Gold River Aggregate",2806,8154,"SMSY"
"TestlnSMSYo.33",71,"KLEEPTEE CREEK",30,168,"SMSY"
"TestlnSMSYo.34",581,"LEINER RIVER",304,1111,"SMSY"
"TestlnSMSYo.35",224,"LITTLE ZEBALLOS RIVER",107,468,"SMSY"
"TestlnSMSYo.36",39,"MOOYAH RIVER",15,98,"SMSY"
"TestlnSMSYo.37",50,"PARK RIVER",21,124,"SMSY"
"TestlnSMSYo.38",129,"SUCWOA RIVER",58,285,"SMSY"
"TestlnSMSYo.39",407,"TAHSIS RIVER",207,803,"SMSY"
"TestlnSMSYo.40",103,"TLUPANA RIVER",45,233,"SMSY"
"TestlnSMSYo.41",134,"TSOWWIN RIVER",61,295,"SMSY"
"TestlnSMSYo.42",1048,"ZEBALLOS RIVER",573,1914,"SMSY"
"TestlnSMSYo.43",18,"ZEBALLOS RIVER*",7,51,"SMSY"
"TestlnSMSYo.44",335,"ARTLISH RIVER",167,672,"SMSY"
"TestlnSMSYo.45",61,"EASY CREEK",25,146,"SMSY"
"TestlnSMSYo.46",537,"KAOUK RIVER",279,1034,"SMSY"
"TestlnSMSYo.47",230,"KAUWINCH RIVER",110,478,"SMSY"
"TestlnSMSYo.48",103,"MALKSOPE RIVER",45,233,"SMSY"
"TestlnSMSYo.49",7,"MCKAY COVE CREEK",2,21,"SMSY"
"TestlnSMSYo.50",84,"NARROWGUT CREEK",36,195,"SMSY"
"TestlnSMSYo.51",85,"OUOUKINSH RIVER",37,197,"SMSY"
"TestlnSMSYo.52",926,"TAHSISH RIVER",503,1707,"SMSY"
"TestlnSMSYo.53",256,"COLONIAL/CAYEGHLE CREEKS",124,528,"SMSY"
"TestlnSMSYo.54",899,"MARBLE RIVER",487,1660,"SMSY"
"TestlnSREPo",35,"CHARTERS RIVER",11,110,"SREP"
"TestlnSREPo.1",544,"DE MAMIEL CREEK",245,1207,"SREP"
"TestlnSREPo.2",714,"GORDON RIVER",331,1539,"SREP"
"TestlnSREPo.3",610,"HARRIS CREEK",278,1338,"SREP"
"TestlnSREPo.4",150,"LENS CREEK",58,387,"SREP"
"TestlnSREPo.5",5177,"SAN JUAN RIVER",2839,9441,"SREP"
"TestlnSREPo.6",95,"CAMPUS CREEK",35,261,"SREP"
"TestlnSREPo.7",5607,"NITINAT RIVER",3088,10179,"SREP"
"TestlnSREPo.8",1724,"NITINAT RIVER(upper)",872,3410,"SREP"
"TestlnSREPo.9",278,"EFFINGHAM RIVER",116,666,"SREP"
"TestlnSREPo.10",256,"CLEMENS CREEK",106,621,"SREP"
"TestlnSREPo.11",195,"MERCANTILE CREEK",78,489,"SREP"
"TestlnSREPo.12",641,"NAHMINT RIVER",294,1398,"SREP"
"TestlnSREPo.13",1294,"SARITA RIVER",637,2627,"SREP"
"TestlnSREPo.14",16843,"SOMASS SYSTEM",9625,29474,"SREP"
"TestlnSREPo.15",29,"THORNTON CREEK",9,94,"SREP"
"TestlnSREPo.16",858,"TOQUART RIVER",406,1814,"SREP"
"TestlnSREPo.17",1534,"BEDWELL/URSUS",768,3066,"SREP"
"TestlnSREPo.18",595,"CYPRE RIVER",271,1307,"SREP"
"TestlnSREPo.19",195,"ICE RIVER",78,489,"SREP"
"TestlnSREPo.20",3876,"KENNEDY RIVER (LOWER)",2088,7196,"SREP"
"TestlnSREPo.21",3829,"MEGIN RIVER",2061,7113,"SREP"
"TestlnSREPo.22",1795,"MOYEHA RIVER",911,3537,"SREP"
"TestlnSREPo.23",211,"SYDNEY RIVER",85,522,"SREP"
"TestlnSREPo.24",150,"TOFINO CREEK",58,387,"SREP"
"TestlnSREPo.25",180,"TRANQUIL CREEK",71,455,"SREP"
"TestlnSREPo.26",333,"WATTA CREEK",142,781,"SREP"
"TestlnSREPo.27",1074,"BURMAN RIVER",520,2220,"SREP"
"TestlnSREPo.28",150,"CANTON CREEK",58,387,"SREP"
"TestlnSREPo.29",298,"CONUMA RIVER",125,708,"SREP"
"TestlnSREPo.30",89,"DESERTED CREEK",32,246,"SREP"
"TestlnSREPo.31",70,"ESPINOSA CREEK",24,199,"SREP"
"TestlnSREPo.32",13607,"Gold River Aggregate",7750,23892,"SREP"
"TestlnSREPo.33",211,"KLEEPTEE CREEK",85,522,"SREP"
"TestlnSREPo.34",1685,"LEINER RIVER",850,3339,"SREP"
"TestlnSREPo.35",657,"LITTLE ZEBALLOS RIVER",302,1428,"SREP"
"TestlnSREPo.36",115,"MOOYAH RIVER",43,307,"SREP"
"TestlnSREPo.37",150,"PARK RIVER",58,387,"SREP"
"TestlnSREPo.38",379,"SUCWOA RIVER",164,876,"SREP"
"TestlnSREPo.39",1185,"TAHSIS RIVER",579,2426,"SREP"
"TestlnSREPo.40",302,"TLUPANA RIVER",127,717,"SREP"
"TestlnSREPo.41",394,"TSOWWIN RIVER",171,908,"SREP"
"TestlnSREPo.42",3022,"ZEBALLOS RIVER",1600,5710,"SREP"
"TestlnSREPo.43",55,"ZEBALLOS RIVER*",19,161,"SREP"
"TestlnSREPo.44",975,"ARTLISH RIVER",467,2036,"SREP"
"TestlnSREPo.45",180,"EASY CREEK",71,455,"SREP"
"TestlnSREPo.46",1560,"KAOUK RIVER",782,3113,"SREP"
"TestlnSREPo.47",672,"KAUWINCH RIVER",310,1458,"SREP"
