"","LL","Estimate","UL","Stock","CU","Param"
"1",400,675,1090,"San Juan","WCVI South","Quant"
"2",206,400,750,"Nahmint","WCVI South","Quant"
"3",300,505,900,"Sarita","WCVI South","Quant"
"4",90,152,290,"Bedwell/Ursus","WCVI South","Quant"
"5",26,73,283,"Megin","WCVI South","Quant"
"6",50,84,240,"Moyeha","WCVI South","Quant"
"7",36,219,717,"Tranquil","WCVI South","Quant"
"8",400,750,2246,"Burman","WCVI Nootka & Kyuquot","Quant"
"9",750,1000,1976,"Gold","WCVI Nootka & Kyuquot","Quant"
"10",110,300,440,"Leiner","WCVI Nootka & Kyuquot","Quant"
"11",15,25,75,"Little Zeballos",NA,"Quant"
"12",124,232,657,"Tahsis","WCVI Nootka & Kyuquot","Quant"
"13",56,100,280,"Zeballos","WCVI Nootka & Kyuquot","Quant"
"14",90,200,400,"Artlish","WCVI Nootka & Kyuquot","Quant"
"15",139,300,500,"Kaouk","WCVI Nootka & Kyuquot","Quant"
"16",247,512,1050,"Tahsish","WCVI Nootka & Kyuquot","Quant"
"17",155,383,571,"Cayeghle","WCVI North","Quant"
"18",600,1554,3036,"Marble","WCVI North","Quant"
"19",8494,15000,30988,"Somass","WCVI South","Quant"
"20",400,1500,15000,"Conuma","WCVI Nootka & Kyuquot","Quant"
"21",1450,3500,12000,"Nitinat","WCVI South","Quant"
"22",154,345,776,"Artlish","WCVI Nootka & Kyuquot","SMSY"
"23",249,533,1142,"Bedwell/Ursus","WCVI South","SMSY"
"24",170,379,842,"Burman","WCVI Nootka & Kyuquot","SMSY"
"25",117,270,626,"Cayeghle","WCVI North","SMSY"
"26",43,111,287,"Conuma","WCVI Nootka & Kyuquot","SMSY"
"27",90,215,512,"Cypre","WCVI South","SMSY"
"28",2323,4317,8023,"Gold","WCVI Nootka & Kyuquot","SMSY"
"29",252,539,1154,"Kaouk","WCVI Nootka & Kyuquot","SMSY"
"30",275,584,1241,"Leiner","WCVI Nootka & Kyuquot","SMSY"
"31",434,885,1805,"Marble","WCVI North","SMSY"
"32",648,1282,2536,"Megin","WCVI South","SMSY"
"33",293,618,1304,"Moyeha","WCVI South","SMSY"
"34",97,230,542,"Nahmint","WCVI South","SMSY"
"35",956,1844,3555,"Nitinat","WCVI South","SMSY"
"36",1664,3124,5863,"San Juan","WCVI South","SMSY"
"37",208,454,990,"Sarita","WCVI South","SMSY"
"38",2860,5296,9806,"Somass","WCVI South","SMSY"
"39",189,416,915,"Tahsis","WCVI Nootka & Kyuquot","SMSY"
"40",446,908,1848,"Tahsish","WCVI Nootka & Kyuquot","SMSY"
"41",25,70,193,"Tranquil","WCVI South","SMSY"
"42",506,1020,2055,"Zeballos","WCVI Nootka & Kyuquot","SMSY"
"43",416,971,2266,"Artlish","WCVI Nootka & Kyuquot","SREP"
"44",672,1491,3310,"Bedwell/Ursus","WCVI South","SREP"
"45",461,1064,2456,"Burman","WCVI Nootka & Kyuquot","SREP"
"46",317,763,1835,"Cayeghle","WCVI North","SREP"
"47",116,316,856,"Conuma","WCVI Nootka & Kyuquot","SREP"
"48",246,608,1507,"Cypre","WCVI South","SREP"
"49",6163,11786,22540,"Gold","WCVI Nootka & Kyuquot","SREP"
"50",680,1508,3343,"Kaouk","WCVI Nootka & Kyuquot","SREP"
"51",743,1633,3590,"Leiner","WCVI Nootka & Kyuquot","SREP"
"52",1168,2462,5189,"Marble","WCVI North","SREP"
"53",1740,3551,7247,"Megin","WCVI South","SREP"
"54",790,1726,3770,"Moyeha","WCVI South","SREP"
"55",264,649,1593,"Nahmint","WCVI South","SREP"
"56",2558,5084,10105,"Nitinat","WCVI South","SREP"
"57",4429,8559,16542,"San Juan","WCVI South","SREP"
"58",563,1272,2876,"Sarita","WCVI South","SREP"
"59",7571,14423,27477,"Somass","WCVI South","SREP"
"60",511,1166,2663,"Tahsis","WCVI Nootka & Kyuquot","SREP"
"61",1200,2525,5309,"Tahsish","WCVI Nootka & Kyuquot","SREP"
"62",69,200,579,"Tranquil","WCVI South","SREP"
"63",1361,2832,5893,"Zeballos","WCVI Nootka & Kyuquot","SREP"
