"","Stock","CU","SGEN","SMSY","SMSYLL","SMSYUL","SREP","SREPLL","SREPUL","a.par","SGENha.cSREP","SMSYha.cSREP","SREPha.cSREP","SGENha.cSMAX","SMSYha.cSMAX","SREPha.cSMAX"
"1","Artlish","WCVI Nootka & Kyuquot",49,345,154,776,971,416,2266,7.84,119,395,971,79,262,644
"2","Bedwell/Ursus","WCVI South",75,533,249,1142,1491,672,3310,7.89,181,606,1491,120,402,991
"3","Burman","WCVI Nootka & Kyuquot",54,379,170,842,1064,461,2456,7.82,131,433,1064,87,287,705
"4","Cayeghle","WCVI North",36,270,117,626,763,317,1835,8.19,88,308,763,59,206,512
"5","Conuma","WCVI Nootka & Kyuquot",15,111,43,287,316,116,856,8.44,35,127,316,24,86,213
"6","Gold","WCVI Nootka & Kyuquot",869,4317,2323,8023,11786,6163,22540,5.84,2089,5042,11786,1268,3061,7155
"7","Kaouk","WCVI Nootka & Kyuquot",75,539,252,1154,1508,680,3343,7.9,183,612,1508,122,407,1002
"8","Leiner","WCVI Nootka & Kyuquot",81,584,275,1241,1633,743,3590,7.93,197,663,1633,131,441,1086
"9","Marble","WCVI North",139,885,434,1805,2462,1168,5189,7.19,337,1016,2462,219,659,1597
"10","Megin","WCVI South",210,1282,648,2536,3551,1740,7247,6.94,508,1475,3551,326,947,2280
"11","Moyeha","WCVI South",86,618,293,1304,1726,790,3770,7.94,208,700,1726,139,466,1149
"12","Nahmint","WCVI South",31,230,97,542,649,264,1593,8.08,77,262,649,51,175,434
"13","Nitinat","WCVI South",287,1844,956,3555,5084,2558,10105,7.18,697,2100,5084,452,1361,3296
"14","San Juan","WCVI South",631,3124,1664,5863,8559,4429,16542,5.84,1517,3662,8559,921,2223,5196
"15","Sarita","WCVI South",64,454,208,990,1272,563,2876,7.85,156,517,1272,103,343,844
"16","Somass","WCVI South",1063,5296,2860,9806,14423,7571,27477,5.84,2557,6170,14423,1552,3746,8755
"17","Tahsis","WCVI Nootka & Kyuquot",59,416,189,915,1166,511,2663,7.82,143,474,1166,95,314,773
"18","Tahsish","WCVI Nootka & Kyuquot",143,908,446,1848,2525,1200,5309,7.16,347,1043,2525,225,676,1636
"19","Tranquil","WCVI South",9,70,25,193,200,69,579,8.61,22,80,200,15,54,136
"20","Zeballos","WCVI Nootka & Kyuquot",163,1020,506,2055,2832,1361,5893,7.07,396,1173,2832,255,757,1829
