"","Stock","SGEN","SMSY","SMSYLL","SMSYUL","SREP","SREPLL","SREPUL","a.par"
"1","Artlish",91,381,167,672,975,467,2036,4.85
"2","Bedwell/Ursus",250,649,274,1018,1534,768,3066,3.12
"3","Burman",100,420,185,734,1074,520,2220,4.85
"4","Cayeghle",75,298,126,533,756,353,1620,4.62
"5","Conuma",28,117,44,230,298,125,708,4.85
"6","Gold",1273,5323,2806,8154,13607,7750,23892,4.85
"7","Kaouk",145,607,278,1029,1552,777,3099,4.85
"8","Leiner",158,661,305,1113,1689,852,3346,4.85
"9","Marble",259,1028,488,1665,2604,1363,4976,4.62
"10","Megin",625,1622,741,2395,3834,2064,7123,3.12
"11","Moyeha",292,757,325,1174,1790,908,3528,3.12
"12","Nahmint",104,269,104,456,637,292,1390,3.12
"13","Nitinat",1082,2424,1110,3436,5601,3085,10169,2.72
"14","San Juan",1875,4202,1979,5849,9707,5479,17201,2.72
"15","Sarita",212,549,228,873,1298,639,2634,3.12
"16","Somass",2746,7123,3491,10080,16840,9623,29470,3.12
"17","Tahsis",111,463,206,802,1184,578,2424,4.85
"18","Tahsish",250,1046,503,1707,2675,1403,5100,4.85
"19","Tranquil",30,77,26,149,183,73,462,3.12
"20","Zeballos",282,1181,573,1913,3020,1598,5705,4.85
"21","Barkley",104,269,104,456,637,292,1390,3.12
"22","Clayoquot",1183,3069,1459,4407,7255,4048,13004,3.12
"23","Kyuquot",493,2063,1041,3243,5273,2895,9606,4.85
"24","Nootka/Esperanza",111,463,206,802,1184,578,2424,4.85
"25","Quatsino",337,1336,648,2129,3384,1806,6342,4.62
"26","WCVI Nootka & Kyuquot",608,2542,1299,3963,6498,3607,11708,4.85
"27","WCVI North",337,1336,648,2129,3384,1806,6342,4.62
"28","WCVI South",1292,3351,1600,4799,7922,4437,14145,3.12
